City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
333,banda aceh,5.5577,95.3222,25.1,87,100,5.52,ID,1724616803
334,kailua-kona,19.6406,-155.9956,25.33,96,100,3.13,US,1724616805
335,la passe,45.5549,-0.8967,16.4,69,0,5.27,FR,1724616806
336,hailar,49.2,119.7,12.45,72,29,3.92,CN,1724616807
337,yerofey pavlovich,53.9667,121.9667,12.7,96,100,2.09,RU,1724616808
338,paoy paet,13.6561,102.5625,24.12,95,100,3.13,KH,1724616810
339,dalnerechensk,45.9339,133.7225,17.51,93,93,4.31,RU,1724616811
340,rehoboth,-23.3167,17.0833,17.23,13,0,3.94,NA,1724616812
341,melekeok village,7.4957,134.6367,27.89,78,100,3.09,PW,1724616813
342,eufaula,31.8913,-85.1455,34.02,37,0,2.06,US,1724616815
343,fort st. john,56.2499,-120.8529,19.94,37,40,10.29,CA,1724616816
344,warmbad,-28.45,18.7333,16.3,25,0,2.08,NA,1724616817
345,thames,-37.1333,175.5333,10.72,93,100,1.35,NZ,1724616818
346,fortuna,40.5982,-124.1573,21.31,68,0,4.12,US,1724616820
347,sinop,41.7711,34.8709,17.46,83,93,2.27,TR,1724616821
348,bandon,51.7469,-8.7425,13.77,87,0,5.91,IE,1724616822
349,ghat,24.9647,10.1728,35.6,20,1,7.37,LY,1724616823
350,aykhal,66.0,111.5,8.24,95,100,2.34,RU,1724616824
351,songkhla,6.8333,100.6667,22.86,99,100,1.87,TH,1724616826
352,pemangkat,1.1667,108.9667,25.84,86,100,3.16,ID,1724616827
353,mabaruma,8.2,-59.7833,29.95,70,98,2.89,GY,1724616828
354,hede,33.7681,120.2517,24.6,95,96,2.31,CN,1724616829
355,boyolangu,-8.1181,111.8935,22.32,95,95,1.47,ID,1724616832
356,gobabis,-22.45,18.9667,16.67,18,0,3.9,NA,1724616833
357,naracoorte,-36.9579,140.7383,9.23,97,22,3.22,AU,1724616834
358,tayshet,55.9342,98.0044,15.31,98,100,1.33,RU,1724616835
359,kavaratti,10.5669,72.642,26.91,84,100,5.44,IN,1724616837
360,kamyzyak,46.11,48.0736,21.99,46,0,0.0,RU,1724616838
